pl_name,pl_rade,pl_bmasse
"V1298 Tau d",6.53000000,6.00000000
"V1298 Tau e",10.17000000,15.30000000
"LP 791-18 c",2.48800000,7.16000000
"TOI-163 b",16.69020100,387.75260000
"TOI-125 b",2.72600000,9.50000000
"TOI-125 c",2.75900000,6.63000000
"NGTS-8 b",12.21781000,295.58190000
"NGTS-9 b",11.99363000,921.70700000
"Qatar-6 b",11.90395800,212.31044000
"HD 213885 b",1.74500000,8.83000000
"XO-7 b",15.38995700,225.34147000
"GJ 1252 b",1.19300000,1.32000000
"EPIC 249893012 b",1.95000000,8.75000000
"EPIC 249893012 c",3.67000000,14.67000000
"EPIC 249893012 d",3.94000000,10.18000000
"L 168-9 b",1.63000000,4.07000000
"TOI-125 d",2.93000000,13.60000000
"Kepler-1661 b",3.87000000,17.00000000
"TOI-132 b",3.42000000,22.40000000
"Kepler-95 b",3.42000000,13.00000000
"HATS-47 b",12.52045300,117.27927000
"HATS-48 A b",8.96720000,77.23269000
"HATS-49 b",8.57488500,112.19399000
"HATS-72 b",8.09738160,39.85588200
"NGTS-10 b",13.50684500,687.14846000
"MASCARA-4 b",16.98160576,532.36258173
"LHS 1815 b",1.08800000,1.58000000
"TOI-1130 b",3.66000000,19.80000000
"TOI-1130 c",13.00000000,336.00000000
"CoRoT-30 b",11.30988100,921.70700000
"CoRoT-31 b",16.36514000,266.97720000
"TOI-677 b",13.11450742,392.20025424
"WASP-150 b",11.99363000,2688.84180000
"WASP-176 b",16.86954500,271.74465000
"HD 332231 b",9.07303305,74.10000000
"LTT 3780 b",1.32500000,2.46000000
"LTT 3780 c",2.39000000,8.04000000
"TOI-1235 b",1.69000000,6.69000000
"TOI-1338 b",7.66100000,11.30000000
"AU Mic b",4.79000000,8.99000000
"WASP-148 b",8.47398941,91.21675281
"TOI-1728 b",5.05000000,26.78000000
"NGTS-11 b",9.15775300,109.33352000
"TOI-849 b",3.64000000,41.80000000
"Wendelstein-1 b",11.56096260,188.15536000
"Wendelstein-2 b",12.99347280,232.33373000
"HD 191939 b",3.41000000,10.00000000
"HD 191939 c",3.19500000,8.00000000
"HD 191939 d",2.99500000,2.80000000
"TYC 8998-760-1 c",12.32990000,1906.98000000
"TOI-1899 b",11.09689089,212.94503269
"HIP 65 A b",22.75427000,1021.18779000
"TOI-157 b",14.41477400,375.03940000
"TOI-169 b",12.17297400,251.40353000
"HATS-37 A b",6.79265400,31.46517000
"HATS-38 b",6.88232600,23.51942000
"HD 86226 c",2.16000000,7.25000000
"WD 1856+534 b",10.40000000,4386.05400000
"LTT 9779 b",4.72000000,29.32000000
"HD 63433 b",2.14000000,21.75500000
"HD 63433 c",2.69200000,15.53900000
"TOI-763 b",2.28000000,9.79000000
"Kepler-77 b",10.76100000,136.66100000
"TOI-763 c",2.63000000,9.32000000
"HATS-71 b",11.47801600,117.59710000
"TOI-824 b",2.92600000,18.46700000
"TOI-1266 b",2.52000000,4.46000000
"TOI-1266 c",1.98000000,3.17000000
"TOI-421 b",2.64000000,6.70000000
"TOI-421 c",5.09000000,14.10000000
"NGTS-12 b",11.74703200,66.10864000
"GJ 3473 b",1.26400000,1.86000000
"TOI-837 b",9.16894621,120.45696625
